DateTime,AddedIPs,RemovedIPs
1575605181,2,2
1575608766,4,2
1575612355,1,0
1575615959,2,1
1575619563,1,4
1575623161,1,3
1575626763,3,1
1575630351,3,2
1575633964,1,2
1575637565,2,2
1575641168,1,1
1575644761,0,4
1575648369,2,1
1575651969,3,2
1575655550,0,3
1575659159,2,0
1575662766,0,1
1575666357,2,1
1575669965,3,5
1575673566,2,1
1575677181,5,3
1575680754,1,3
1575684361,3,0
1575687967,0,2
1575691565,1,1
1575695166,1,2
1575698769,3,2
1575702354,0,2
1575705965,1,2
1575709561,1,1
1575713163,3,2
1575716763,1,2
1575720365,1,2
1575723971,4,1
1575727565,2,0
1575731171,3,2
1575734761,4,1
1575738362,1,2
1575741976,0,2
1575745557,2,3
1575752765,1,1
1575759970,1,3
1575763586,0,1
1575767179,2,2
1575770763,2,3
1575774378,2,1
1575777968,3,0
1575781568,1,3
1575785174,1,2
1575788773,2,2
1575792363,1,0
1575795972,1,0
1575799571,2,0
1575803167,2,0
1575806755,2,2
1575810378,3,4
1575813972,2,3
1575817578,1,1
1575821172,5,3
1575824765,0,3
1575828364,3,0
1575831970,1,3
1575835582,1,3
1575839179,2,1
1575842778,0,3
1575846374,1,0
1575849953,2,0
1575853558,1,0
1575857169,1,1
1575860759,2,2
1575864376,0,1
1575867955,5,6
1575871565,4,2
1575875163,5,5
1575878756,4,0
1575882360,2,3
1575885962,3,1
1575889562,2,3
1575893155,1,2
1575896774,0,5
1575900353,5,1
1575903965,2,5
1575907571,1,1
1575911151,5,1
1575914757,1,5
1575918357,3,1
1575921959,2,0
1575925564,2,2
1575929169,3,2
1575932764,1,2
1575936391,2,2
1575939967,1,4
1575943565,2,0
1575947169,2,3
1575950760,2,2
1575954363,2,1
1575957959,3,0
1575961562,1,5
1575965162,2,3
1575968743,5,2
1575972371,4,2
1575975965,0,1
1575979561,2,3
1575983161,1,4
1575986760,4,1
1575990364,1,2
1575993959,0,1
1575997577,1,3
1576001177,2,5
1576004763,4,1
1576008372,1,8
1576011964,7,2
1576015568,5,1
1576019164,3,1
1576022786,1,1
1576026367,3,2
1576029959,2,2
1576037178,3,4
1576040781,2,2
1576044372,2,7
1576047967,5,1
1576051566,3,2
1576055167,2,2
1576058762,4,2
1576062381,1,2
1576065967,1,4
1576069578,2,2
1576073183,4,3
1576076760,5,0
1576080373,0,2
1576083978,4,4
1576087569,0,4
1576091167,3,1
1576094768,2,3
1576098372,3,1
1576101977,2,1
1576105566,0,2
1576109209,0,1
1576112766,0,3
1576116373,5,1
1576119975,1,1
1576123557,1,2
1576127170,1,2
1576130763,1,4
1576134360,5,0
1576137983,1,1
1576141569,5,4
1576145169,3,1
1576148772,3,1
1576152387,2,5
1576155961,1,1
1576159576,3,2
1576163177,2,2
1576166776,0,3
1576170362,2,2
1576173977,2,5
1576177569,4,2
1576188367,0,2
1576191987,2,0
1576199165,1,0
1576202762,0,1
1576206368,0,1
1576209974,3,2
1576213560,3,1
1576217155,3,4
1576220764,2,3
1576224370,3,2
1576227967,2,2
1576231574,4,5
1576235139,4,1
1576238775,1,3
1576242350,3,2
1576245952,3,4
1576249570,4,4
1576253164,3,3
1576256773,2,2
1576260373,2,4
1576263958,3,1
1576267576,0,1
1576271174,3,1
1576274748,3,2
1576278373,2,2
1576281980,1,3
1576285561,3,2
1576289159,0,2
1576292770,1,2
1576296366,2,6
1576299959,2,0
1576303557,1,2
1576307156,3,1
1576310764,1,0
1576314358,0,2
1576317985,2,2
1576321568,1,8
1576325172,5,0
1576328757,5,0
1576332369,3,3
1576335970,3,1
1576339574,2,2
1576343161,2,4
1576346759,3,4
1576350353,2,2
